timestamp,experiment_name,command,total_epochs,final_train_loss,final_val_loss,final_test_loss,final_train_acc,final_val_acc,final_test_acc,mean_cv,z_score_instability,mean_batch_zscore_instability,comment,lr,weight_decay,batch_size,num_epochs,encoder_name
2025-06-30T18:13:56.136471,pronet_gvp_bs64,atomsurf/tasks/masif_site/train_hydra.py run_name=pronet_gvp_bs64,50,0.5632514357566833,0.6038420796394348,,0.5003083944320679,0.5002303123474121,,0.015537321957903574,0.4770966294823765,0.7965395041101424,,0.001,0,64,50,pronet_gvpencoder
2025-07-16T14:45:30.266266,pronetgvp_esm_bs64_tophatLeakyRelu,atomsurf/tasks/masif_site/train_hydra.py run_name=pronetgvp_esm_bs64_tophatLeakyRelu devices=1,50,0.18306341767311096,0.6463932394981384,,0.9279640316963196,0.7981147170066833,,0.08339431984639566,0.6265588102400974,0.7736828201652848,,0.001,0,64,50,pronet_gvpencoder
2025-07-16T15:36:08.032714,pronetgvp_esm_bs8_tophatLeakyRelu_20eps,"/root/atomsurf/atomsurf/tasks/masif_site/train_hydra.py run_name=pronetgvp_esm_bs8_tophatLeakyRelu_20eps devices=2 loader.batch_size=8 loader.num_workers=4 epochs=20 hydra.run.dir=""/root/atomsurf"" hydra.job.name=train_ddp_process_1",20,0.2661186456680298,0.4656752049922943,,0.8926706910133362,0.8121761679649353,,0.20018964668774872,0.6105917030671539,0.6871577655231997,,0.001,0,8,20,pronet_gvpencoder
2025-07-16T15:36:08.548921,pronetgvp_esm_bs8_tophatLeakyRelu_20eps,atomsurf/tasks/masif_site/train_hydra.py run_name=pronetgvp_esm_bs8_tophatLeakyRelu_20eps devices=2 loader.batch_size=8 loader.num_workers=4 epochs=20,20,0.26602837443351746,0.6020578742027283,,0.8920809626579285,0.7817314863204956,,0.19517568699009408,0.6239243440598934,0.7087491070967531,,0.001,0,8,20,pronet_gvpencoder
2025-07-16T16:49:42.450842,pronetgvp_esm_bs8_20eps,atomsurf/tasks/masif_site/train_hydra.py run_name=pronetgvp_esm_bs8_20eps epochs=20 loader.batch_size=8,20,0.5799165368080139,0.6038375496864319,,0.551827609539032,0.5391027927398682,,0.03911960984556293,0.5188948541111734,0.7739714955677112,,0.001,0,8,20,pronet_gvpencoder
2025-07-16T19:59:31.196966,pronetgvp_esm_bs128_tophatLeakyRelu_,"/root/atomsurf/atomsurf/tasks/masif_site/train_hydra.py run_name=pronetgvp_esm_bs128_tophatLeakyRelu_ devices=2 loader.batch_size=128 hydra.run.dir=""/root/atomsurf"" hydra.job.name=train_ddp_process_1",50,0.2183689922094345,0.4988846480846405,,0.9153464436531067,0.8055761456489563,,0.05836907891914937,0.7104386215240104,0.7865222606346916,,0.001,0,128,50,pronet_gvpencoder
2025-07-16T19:59:31.771362,pronetgvp_esm_bs128_tophatLeakyRelu_,atomsurf/tasks/masif_site/train_hydra.py run_name=pronetgvp_esm_bs128_tophatLeakyRelu_ devices=2 loader.batch_size=128,50,0.21812278032302856,0.6144896745681763,,0.9157880544662476,0.7863169312477112,,0.055052809415296264,0.7042130547307066,0.8103307397243712,,0.001,0,128,50,pronet_gvpencoder
2025-07-18T22:41:32.321270,pronetgvp_bs64_diff4_wBCE_lr5e4_clip0p3_acc2_20eps,atomsurf/tasks/masif_site/train_hydra.py run_name=pronetgvp_bs64_diff4_wBCE_lr5e4_clip0p3_acc2_20eps diffusion_net.num_repeats=1 loss.weighted_bce=true optimizer.lr=5e-4 train.gradient_clip_val=0.3 train.accumulate_grad_batches=2 devices=1 epochs=20,20,0.556985080242157,0.8302686810493469,,0.8727132678031921,0.8266068696975708,,0.08555348335591806,0.6343588684798449,0.7301423337583804,,0.0005,0,64,20,pronet_gvpencoder
2025-07-28T12:41:48.676930,pronetgvp_esm_DL2_tophatLeakyRelu,atomsurf/tasks/masif_site/train_hydra.py run_name=pronetgvp_esm_DL2_tophatLeakyRelu diffusion_net.num_repeats=2 devices=1,50,0.21080328524112701,0.5949356555938721,,0.9149389266967773,0.8013522624969482,,0.10291232739553034,0.539857734776592,0.7319095922436061,,0.001,0,64,50,pronet_gvpencoder
2025-07-28T13:20:48.772607,pronetgvp_esm_DL2_tophatLeakyRelu,atomsurf/tasks/masif_site/train_hydra.py run_name=pronetgvp_esm_DL2_tophatLeakyRelu diffusion_net.num_repeats=4 devices=[1],50,0.21471808850765228,0.5868287086486816,,0.9140468239784241,0.7984181046485901,,0.10260082573002181,0.5431278896973258,0.7375969129309017,,0.001,0,64,50,pronet_gvpencoder
2025-07-28T14:36:13.641770,pronetgvp_esm_DL8_tophatLeakyRelu,atomsurf/tasks/masif_site/train_hydra.py run_name=pronetgvp_esm_DL8_tophatLeakyRelu diffusion_net.num_repeats=8 devices=[2],50,0.21723082661628723,0.5696542859077454,,0.9129552841186523,0.8018412590026855,,0.10079821806473645,0.5295577204084457,0.7475631516241961,,0.001,0,64,50,pronet_gvpencoder
