surface_vertices,graph_nodes,graph_edges,graph_density,avg_degree,protein_id,split
572,280,8202,0.20998463901689707,29.292857142857144,1A0G_A,train
585,282,8232,0.20776860755659876,29.19148936170213,1A0G_B,train
456,159,3086,0.24568107634742456,19.40880503144654,1A0H_D,train
516,259,7872,0.23561102630870073,30.393822393822393,1A0H_E,train
400,224,6682,0.26753683536194744,29.830357142857142,1A14_HL,train
603,388,13440,0.1790138256213538,34.63917525773196,1A14_N,train
383,180,4772,0.29621353196772193,26.511111111111113,1A22_A,train
270,122,3288,0.44546809375423385,26.950819672131146,1A2A_C,train
274,122,3288,0.44546809375423385,26.950819672131146,1A2A_D,train
469,248,7102,0.23187932610683035,28.637096774193548,1A2K_AB,train
395,196,5464,0.2859236002093145,27.877551020408163,1A2K_C,train
312,124,2748,0.36034618410700237,22.161290322580644,1A2W_A,train
310,124,2752,0.3608707054812484,22.193548387096776,1A2W_B,train
376,158,3696,0.2979924211884222,23.39240506329114,1A2X_A,train
258,129,3464,0.41957364341085274,26.852713178294575,1A2Y_C,train
465,212,5504,0.24608781185728337,25.962264150943398,1A3R_H,train
306,150,4362,0.39033557046979867,29.08,1A6J_A,train
388,171,4346,0.29900240798073613,25.415204678362574,1A79_B,train
545,341,10454,0.18033465585647748,30.656891495601172,1A99_C,train
555,341,10426,0.17985164740382956,30.574780058651026,1A99_D,train
304,158,4534,0.3655567201483512,28.696202531645568,1AA7_A,train
301,157,4494,0.36697697207251345,28.62420382165605,1AA7_B,train
418,241,7780,0.2690179806362379,32.28215767634855,1ACB_E,train
484,206,5202,0.24636514326308312,25.25242718446602,1ADQ_A,train
349,151,3808,0.3362472406181016,25.218543046357617,1AFV_B,train
423,200,5224,0.26251256281407037,26.12,1AHW_C,train
383,170,4230,0.29446571528019494,24.88235294117647,1AIH_D,train
300,165,5048,0.3730968218773097,30.593939393939394,1AK4_A,train
328,145,3602,0.3450191570881226,24.841379310344827,1AK4_D,train
786,374,10390,0.14895843787185847,27.780748663101605,1AKJ_AB,train
471,228,6470,0.25001932143133165,28.37719298245614,1AKJ_DE,train
370,222,7054,0.28755452284864047,31.774774774774773,1AN1_E,train
318,141,4164,0.4218844984802432,29.53191489361702,1APY_B,train
390,161,4110,0.3190993788819876,25.527950310559007,1APY_C,train
311,141,4164,0.4218844984802432,29.53191489361702,1APZ_D,train
533,270,7882,0.21704529808619027,29.192592592592593,1ARZ_A,train
527,271,8034,0.21959819598195982,29.645756457564577,1ARZ_C,train
682,371,11126,0.16210388285859983,29.98921832884097,1ATN_A,train
419,258,7802,0.2353331523542364,30.24031007751938,1ATN_D,train
712,378,11416,0.1602178153902292,30.201058201058203,1AUI_A,train
398,165,3970,0.2934220251293422,24.060606060606062,1AUI_B,train
344,181,5090,0.31246163290362183,28.12154696132597,1AVA_C,train
569,322,9580,0.18536793018710937,29.751552795031056,1AVF_A,train
367,140,3192,0.32805755395683456,22.8,1AVO_L,train
370,223,7150,0.2888538762978225,32.062780269058294,1AVX_A,train
335,172,4714,0.32054943560451515,27.406976744186046,1AVX_B,train
237,103,2450,0.4664001522939273,23.78640776699029,1AVZ_B,train
377,175,4540,0.29819376026272576,25.942857142857143,1AXI_A,train
417,191,4872,0.26850372003306694,25.50785340314136,1AXI_B,train
412,187,4650,0.26737967914438504,24.86631016042781,1AZ4_A,train
452,215,5484,0.2383829602260378,25.506976744186048,1AZ4_B,train
701,339,9340,0.16302735159100032,27.551622418879056,1AZS_C,train
334,138,2966,0.3137628266158891,21.492753623188406,1AZZ_D,train
286,103,2038,0.3879687797449077,19.78640776699029,1B0N_A,train
244,110,2810,0.46872393661384487,25.545454545454547,1B2S_A,train
240,110,2834,0.4727272727272727,25.763636363636362,1B2U_A,train
732,282,6302,0.15905706569748365,22.347517730496453,1B35_C,train
242,110,2814,0.46939115929941616,25.581818181818182,1B3S_A,train
616,304,8358,0.18147472642001042,27.49342105263158,1B47_B,train
578,326,9944,0.18771118452100047,30.503067484662576,1B4K_A,train
608,320,9444,0.18503134796238244,29.5125,1B4K_B,train
330,132,2980,0.34466805459171873,22.575757575757574,1B4U_C,train
516,298,9294,0.21001965968408923,31.187919463087248,1B4U_D,train
598,363,12140,0.18477086282209335,33.4435261707989,1B65_B,train
602,363,12138,0.18474042281174374,33.43801652892562,1B65_D,train
234,107,2810,0.49550343854699347,26.261682242990656,1B6C_A,train
631,326,9680,0.18272770174610664,29.69325153374233,1B6C_B,train
299,119,2858,0.40706452072354365,24.016806722689076,1B9L_C,train
293,119,2884,0.4107676969092722,24.235294117647058,1B9L_D,train
579,255,6488,0.20033966342442489,25.44313725490196,1B9M_A,train
571,244,5888,0.19861026782702557,24.131147540983605,1B9M_B,train
